instruction,input,output,text
"Most of your books have an Ars Arcanum at the end, but Tress didn't. Was this a deliberate choice to leave the magic/aethers more open-ended for the future? Or to fit with the fairy tale style?",,"I kind of want Tress to be a little bit of an in-world artifact. This is Hoid telling this story, and it's supposed to feel like the story that he told to some people that got recorded and written down and published for you. And Khriss (who writes the Ars Arcanums) is not involved in that. And it didn't feel appropriate for any of the Secret Projects to do that. So we replaced that with, kind of, my author's discussion of where the book came from, and things like that.","<s>[INST] Most of your books have an Ars Arcanum at the end, but Tress didn't. Was this a deliberate choice to leave the magic/aethers more open-ended for the future? Or to fit with the fairy tale style? [/INST] I kind of want Tress to be a little bit of an in-world artifact. This is Hoid telling this story, and it's supposed to feel like the story that he told to some people that got recorded and written down and published for you. And Khriss (who writes the Ars Arcanums) is not involved in that. And it didn't feel appropriate for any of the Secret Projects to do that. So we replaced that with, kind of, my author's discussion of where the book came from, and things like that. </s>"
"Is there a pattern to when the seethe stops, similar to how the highstorms on Roshar have a pattern?",,Not one that anyone in-world through studying has been able to figure out.,"<s>[INST] Is there a pattern to when the seethe stops, similar to how the highstorms on Roshar have a pattern? [/INST] Not one that anyone in-world through studying has been able to figure out. </s>"
"Who is Hoid, as the narrator, telling the story [Tress] to?",,"That is a RAFO in that I believe it is evident in the books. Well... I believe some of it is evident. Not the specific individuals, but this far enough in the future of the Cosmere that I don't want to talk about individuals he might be speaking to. You can figure out the general tone; and people have. It was very clear, I think, to fans when they started posting. So you can ask on a fan forum, if you want them to give their thoughts; but I'm not gonna speak more than that.","<s>[INST] Who is Hoid, as the narrator, telling the story [Tress] to? [/INST] That is a RAFO in that I believe it is evident in the books. Well... I believe some of it is evident. Not the specific individuals, but this far enough in the future of the Cosmere that I don't want to talk about individuals he might be speaking to. You can figure out the general tone; and people have. It was very clear, I think, to fans when they started posting. So you can ask on a fan forum, if you want them to give their thoughts; but I'm not gonna speak more than that. </s>"
"What are the other six types of spores we didn't get to see in the book? Were there any that you really wanted to include, but couldn't?",,"No. When I've written books, I tend to gravitate toward a couple of the aethers that are really the most dynamic for action scenes and things like that. Some of the other aethers are there for the necessity of the future of the Cosmere. For instance: zephyr, while very useful in this for firing cannons and stuff, is really there so that we can have propellant in space by just-add-water and make yourself some extra propellant. And atmosphere; kind of a low-tech (there's better-tech ways), but a low-tech way to: ""hey, we've got zephyr aether, it makes breathable air. And so, if we've got water and a barrel of this stuff, then we'll be able to breathe."" So there are some of the aethers that are there for that sort of reason, so that we can have pneumatic weaponry and some easy access to emergency propellant in space, and stuff like that.","<s>[INST] What are the other six types of spores we didn't get to see in the book? Were there any that you really wanted to include, but couldn't? [/INST] No. When I've written books, I tend to gravitate toward a couple of the aethers that are really the most dynamic for action scenes and things like that. Some of the other aethers are there for the necessity of the future of the Cosmere. For instance: zephyr, while very useful in this for firing cannons and stuff, is really there so that we can have propellant in space by just-add-water and make yourself some extra propellant. And atmosphere; kind of a low-tech (there's better-tech ways), but a low-tech way to: ""hey, we've got zephyr aether, it makes breathable air. And so, if we've got water and a barrel of this stuff, then we'll be able to breathe."" So there are some of the aethers that are there for that sort of reason, so that we can have pneumatic weaponry and some easy access to emergency propellant in space, and stuff like that. </s>"
"Where does Tress take place in the overall Cosmere timeline? The telling of the story, not the story itself; or both, if you want to answer.",,"That is a RAFO. My goal right now is to get you a coordinated Cosmere timeline of books by the time I start Stormlight Six. But we will see. I've promised that for years, and I keep pushing it back.","<s>[INST] Where does Tress take place in the overall Cosmere timeline? The telling of the story, not the story itself; or both, if you want to answer. [/INST] That is a RAFO. My goal right now is to get you a coordinated Cosmere timeline of books by the time I start Stormlight Six. But we will see. I've promised that for years, and I keep pushing it back. </s>"
What was going on with Design during this story [Tress]? Was she affected by Hoid's curse?,,RAFO. You will maybe get an answer someday. Maybe.,<s>[INST] What was going on with Design during this story [Tress]? Was she affected by Hoid's curse? [/INST] RAFO. You will maybe get an answer someday. Maybe. </s>
"If the moons are constantly pouring out spores, how do the oceans not fill up? Do they degrade eventually, or is there another method?",,"Yes, they degrade eventually. I'll be perfectly frank with you: my science on this, I have not gone to all of my normal science routes. The only one of the Secret Projects that we did a lot of the scientific work on is Four, because of how tied into the rest of the Cosmere it is. I have some sort of plausible wiggle room on Book One, because Hoid is telling the story, and he can get some things wrong.","<s>[INST] If the moons are constantly pouring out spores, how do the oceans not fill up? Do they degrade eventually, or is there another method? [/INST] Yes, they degrade eventually. I'll be perfectly frank with you: my science on this, I have not gone to all of my normal science routes. The only one of the Secret Projects that we did a lot of the scientific work on is Four, because of how tied into the rest of the Cosmere it is. I have some sort of plausible wiggle room on Book One, because Hoid is telling the story, and he can get some things wrong. </s>"
Is there any chance we could get a map for this world [Lumar] at some point?,,"That's a good idea. We maybe should have done that. The issue is, running that through continuity... We should do it someday. But it's gonna take a little extra work just to make sure on the continuity on that one. So yeah, there is a chance you could get a map on this.","<s>[INST] Is there any chance we could get a map for this world [Lumar] at some point? [/INST] That's a good idea. We maybe should have done that. The issue is, running that through continuity... We should do it someday. But it's gonna take a little extra work just to make sure on the continuity on that one. So yeah, there is a chance you could get a map on this. </s>"
What does the Cognitive Realm of Lumar look like?,,"I'm gonna RAFO that for now. I've been playing a little bit with the Cognitive Realm on some of these planets, so I will RAFO it for now. Basically, asking, ""Do we still have the same inversion going on?"" And I'm gonna say it's a little weirder than normal. (And Shadesmar's often a little weird.)","<s>[INST] What does the Cognitive Realm of Lumar look like? [/INST] I'm gonna RAFO that for now. I've been playing a little bit with the Cognitive Realm on some of these planets, so I will RAFO it for now. Basically, asking, ""Do we still have the same inversion going on?"" And I'm gonna say it's a little weirder than normal. (And Shadesmar's often a little weird.) </s>"
"When he [Isaac] and I were talking, and he told me that it [the planet name] was Lumar, I was like, ""Oh, that's like 'lunar,' just with an 'm.'"" Is that something that crossed your mind? Was that intentional? Were you okay with that?",,"Yes, that's part of why I liked it. But he has some very good rationale for the name, and I'll maybe let him tell that story at some point. But he kind of gave me the explanation.","<s>[INST] When he [Isaac] and I were talking, and he told me that it [the planet name] was Lumar, I was like, ""Oh, that's like 'lunar,' just with an 'm.'"" Is that something that crossed your mind? Was that intentional? Were you okay with that? [/INST] Yes, that's part of why I liked it. But he has some very good rationale for the name, and I'll maybe let him tell that story at some point. But he kind of gave me the explanation. </s>"
